365996	275	-1492	-8055.04
366000	282	-17128	-8235.67
366003	222	4064	-7988.80
366007	-73	-14780	-8124.84
366011	191	-14220	-8246.00
366014	274	-2944	-8138.88
366018	493	-10204	-8178.74
366021	265	-6980	-8153.72
366025	-110	-18396	-8359.00
366029	325	-13424	-8459.34
366032	221	-11300	-8515.29
366036	-48	-14820	-8641.53
366041	290	3584	-8395.59
366044	-77	-17064	-8569.26
366048	-450	2076	-8357.68
366052	-122	792	-8175.17
366055	-152	-10636	-8224.83
366059	-626	3084	-8001.11
366062	-343	-7892	-8000.27
366066	571	-2620	-7890.99
366070	33	-4760	-7828.24
366073	0	-3324	-7738.15
366077	324	-852	-7599.48
366081	261	-16204	-7770.29
366085	524	-10568	-7824.70
366089	297	-13580	-7938.64
366092	122	-15376	-8086.91
366096	250	1236	-7899.72
366099	460	-19088	-8121.68
366103	96	-7736	-8113.59
366107	-405	-17576	-8304.03
366110	-126	-11620	-8370.84
366114	-60	-12920	-8462.00
366118	-62	-14312	-8579.24
366121	408	-504	-8416.14
366126	-83	-8756	-8423.26
366129	-352	896	-8238.26
366133	40	976	-8053.86
366136	-26	-12824	-8149.36
366140	-368	3252	-7922.42
366144	-321	-9864	-7962.51
366147	483	-12912	-8059.60
366151	177	-3448	-7966.85
366155	414	-2316	-7852.21
366158	423	-8292	-7859.35
366162	150	-21324	-8128.20
366166	554	-8564	-8134.20
366170	576	-18608	-8341.98
366174	0	-15092	-8476.98
366177	259	1164	-8283.15
366181	250	-13624	-8389.23
366184	-160	-3188	-8285.83
366188	-489	-8512	-8291.79
366192	-154	-15384	-8434.24
366195	-323	-1860	-8304.02
366199	-160	-13296	-8404.33
366203	614	1636	-8201.12
366206	40	-8908	-8215.10
366211	-194	1224	-8027.08
366214	127	1168	-7842.68
366218	222	-15868	-8002.54
366222	91	-2832	-7898.77
366225	-164	-9324	-7927.92
366229	190	-11636	-8001.52
366232	226	2596	-7788.68
366236	573	-12400	-7879.22
366240	383	-5596	-7832.06
366243	390	-22132	-8116.53
366247	907	-17848	-8308.49
366252	580	-17520	-8489.88
366255	-123	-15452	-8629.60
366259	229	724	-8441.86
366262	190	-15252	-8577.32
366266	-479	-5844	-8524.53
366270	-404	-12516	-8605.54
366273	61	-13560	-8704.39
366277	-322	-5204	-8635.33
366281	-218	-14668	-8756.84
366284	652	1208	-8554.99
366288	-118	-3408	-8452.39
366291	-271	1644	-8251.53
366296	161	3152	-8022.67
366300	109	-18916	-8240.22
366303	-140	1996	-8036.04
366307	-314	-7924	-8034.72
366311	322	-15468	-8182.13
366314	277	-2660	-8070.60
366318	555	-10020	-8107.95
366321	483	-4660	-8037.10
366325	139	-19348	-8262.91
366329	707	-14132	-8377.52
366332	648	-18860	-8584.63
366337	-90	-16304	-8739.37
366341	199	2092	-8521.96
366344	317	-18652	-8723.32
366348	-318	-6720	-8684.19
366352	-348	-424	-8520.35
366355	-95	-10528	-8560.88
366359	-446	-8240	-8555.77
366362	-177	-14644	-8678.23
366366	586	-2088	-8544.70
366370	-144	-5424	-8482.85
366373	-267	2996	-8254.32
366377	195	-652	-8101.70
366381	175	-15124	-8241.29
366385	21	3104	-8014.32
366389	-112	-13308	-8120.63
366392	285	-14944	-8255.98
366396	351	-2540	-8140.63
366400	467	-8836	-8152.71
366403	274	-6120	-8110.98
366407	-143	-18868	-8326.54
366410	390	-11856	-8395.60
366414	311	-16620	-8559.18
366418	-122	-15620	-8700.87
366422	423	2864	-8467.50
366426	68	-18832	-8674.59
366430	-334	252	-8497.37
366433	-393	-2036	-8369.29
366437	-254	-13112	-8465.14
366440	-607	-9968	-8497.58
366444	-324	-9724	-8523.06
366448	724	-1928	-8388.32
366451	112	-6172	-8343.55
366455	-15	-2628	-8229.29
366458	240	-2260	-8108.96
366462	441	-18828	-8322.04
366467	516	-8996	-8333.00
366470	227	-13008	-8425.61
366474	99	-14676	-8550.32
366477	307	-1544	-8408.99
366481	620	-17704	-8593.07
366485	13	-7936	-8579.88
366488	-171	-22320	-8855.35
366492	426	-16620	-9009.39
366496	349	-17352	-9174.87
366499	-102	-15504	-9301.86
366503	181	1736	-9080.57
366507	-50	-8808	-9075.36
366511	-484	92	-8893.44
366515	-207	-4368	-8803.74
366518	-114	-12548	-8879.07
366522	-535	2784	-8647.38
366525	-533	-9236	-8661.25
366529	385	-11324	-8713.37
366533	8	-2016	-8579.39
366536	313	-900	-8424.58
366540	277	-7156	-8398.39
366543	306	-21532	-8659.86
366547	715	-7396	-8631.78
366552	410	-11868	-8694.90
366555	11	-15760	-8836.16
366559	307	376	-8651.01
366563	406	-17468	-8825.76
366566	-122	-3052	-8710.77
366570	-450	-9632	-8730.51
366573	-77	-15476	-8865.72
366577	-135	-16104	-9010.89
366581	-62	-15120	-9133.31
366584	537	888	-8930.78
366588	-17	-9940	-8951.02
366592	-143	648	-8759.74
366596	242	660	-8570.63
366600	140	-15152	-8701.71
366603	66	-3728	-8601.98
366607	-64	-9316	-8616.45
366610	198	-10460	-8652.54
366614	252	-512	-8488.99
366618	566	-13796	-8592.91
366621	236	-6264	-8545.41
366625	-68	-14976	-8674.22
366628	439	-16920	-8837.42
366632	464	-18596	-9031.22
366637	-16	-15824	-9167.16
366640	88	2460	-8934.27
366644	4	-13164	-9018.85
366647	-275	-1956	-8878.67
366651	-301	1864	-8664.71
366655	-89	-14168	-8775.12
366658	-532	-2448	-8650.66
366662	-310	-7088	-8620.32
366665	686	-6472	-8574.67
366669	-12	-3548	-8474.18
366673	133	3508	-8234.14
366676	476	-4388	-8155.36
366681	375	-19852	-8387.82
366685	535	588	-8206.20
366688	302	-16576	-8372.42
366692	161	-13904	-8482.58
366695	130	-84	-8314.09
366699	475	-17732	-8501.06
366703	85	-7312	-8476.94
366706	-268	-18048	-8669.41
366710	36	-16080	-8817.52
366713	132	-12236	-8885.37
366717	21	-17168	-9050.96
366722	500	1080	-8845.89
366725	-40	-7184	-8812.81
366729	-162	2228	-8592.47
366732	84	2292	-8374.45
366736	-61	-17428	-8555.70
366740	-194	1888	-8347.59
366743	-171	-8344	-8348.19
366747	268	-14164	-8463.72
366750	244	-2884	-8351.17
366754	445	-7416	-8331.15
366758	465	-2344	-8209.59
366761	334	-21848	-8481.05
366766	588	-11284	-8534.80
366769	441	-14176	-8645.90
366773	21	-14544	-8763.78
366777	97	3936	-8509.50
366780	232	-19068	-8719.76
366784	-244	-6720	-8680.48
366788	-521	-1636	-8541.63
366791	-83	-12160	-8614.33
366795	-316	-12904	-8701.05
366798	-236	-10260	-8733.15
366802	526	-408	-8564.59
366807	-193	-9796	-8589.97
366810	-309	832	-8402.75
366814	65	1724	-8200.02
366817	-147	-10016	-8236.92
366821	-338	3160	-8009.97
366825	-225	-8520	-8021.05
366828	316	-11644	-8092.27
366832	192	-3252	-7994.90
366836	526	-16476	-8162.46
366839	430	-7192	-8141.37
366843	41	-20556	-8389.54
366846	396	-7660	-8373.40
366851	553	-15856	-8520.88
366855	-9	-14028	-8631.06
