393910	290	5988	-2244.99
393914	332	-9232	-2383.75
393917	172	2804	-2279.32
393921	405	-188	-2236.31
393924	547	-9816	-2385.75
393928	-203	1436	-2309.92
393932	457	6708	-2127.77
393935	361	9956	-1884.68
393939	178	-8908	-2024.62
393943	-175	7408	-1836.82
393947	218	2292	-1753.61
393951	675	-5204	-1819.97
393954	-399	152	-1782.09
393958	-35	9536	-1555.84
393961	111	7396	-1376.36
393965	-89	-928	-1367.66
393968	-750	8920	-1164.84
393972	-82	560	-1130.59
393975	641	736	-1090.74
393979	-371	2044	-1029.14
393984	-98	8632	-836.30
393987	145	11360	-591.67
393991	-76	-6576	-711.58
393994	-719	9300	-514.16
393998	-167	2940	-445.57
394001	519	-2148	-477.58
394005	-469	-696	-483.33
394008	-76	9096	-292.04
394012	172	8660	-112.50
394015	27	-2856	-167.26
394019	-477	6900	-27.32
394022	158	1548	4.81
394027	671	-6188	-117.08
394030	-377	1332	-89.94
394034	211	10692	126.32
394037	367	3908	203.39
394041	258	-3600	128.08
394045	-359	9444	312.99
394048	341	-1672	274.63
394052	838	-736	256.88
394055	-297	1236	275.30
394059	330	7188	414.52
394062	489	11016	628.47
394066	153	-7712	462.11
394070	-364	9180	634.68
394074	55	2304	668.23
394077	658	-1196	633.53
394081	-268	-404	611.99
394084	66	5708	714.17
394088	159	11436	929.07
394092	123	-468	901.61
394095	-464	8472	1051.65
394099	86	3864	1108.24
394102	802	2864	1146.50
394106	-164	1524	1153.56
394109	28	8980	1310.20
394114	274	9600	1477.07
394117	82	-2932	1389.21
394121	-669	6212	1483.70
394125	47	448	1463.17
394128	722	1176	1459.55
394132	-398	-3784	1353.12
394135	-272	10548	1535.95
394139	26	10500	1715.31
394142	-182	912	1698.53
394146	-900	-3756	1586.79
394150	15	1568	1586.48
394153	553	6220	1681.31
394158	-341	-8892	1468.51
394161	-306	4772	1533.38
394165	-144	992	1522.13
394169	-263	-2152	1447.62
394172	-675	728	1430.58
394176	40	-5632	1289.44
394179	378	8676	1438.66
394183	-202	-8684	1235.61
394186	-295	-2072	1168.30
394190	-57	-6124	1022.29
394194	-255	-336	994.12
394198	-575	-9540	780.62
394202	204	-12168	522.25
394205	255	7700	666.81
394209	12	-9884	455.82
394212	48	-64	445.62
394216	-38	-3156	373.47
394219	-369	-52	363.52
394223	-585	-6412	226.29
394226	-20	-8764	46.40
394230	181	8448	214.97
394233	-477	-7732	54.16
394237	-450	6264	177.03
394241	-140	3448	241.76
394245	-350	-1744	201.02
394248	-677	1212	218.59
394252	87	-5004	114.39
394255	199	7980	272.48
394259	-382	-6068	144.55
394262	-351	-3040	79.48
394266	-238	6224	201.67
394269	-383	-804	180.06
394273	-797	-10972	-45.33
394277	67	-2420	-92.56
394280	326	8996	90.17
394284	-322	-7080	-54.81
394288	-551	676	-41.81
394291	-280	-3724	-116.55
394295	-520	1016	-95.43
394299	-1033	-4736	-192.29
394302	-225	-8060	-350.53
394306	265	9012	-162.50
394309	-623	-8556	-332.81
394313	-642	9416	-139.72
394316	-246	7280	7.71
394320	-508	-1008	-14.10
394323	-1047	3740	56.88
394328	-31	-4304	-30.46
394331	356	4208	55.70
394335	-626	-6980	-86.85
394338	-584	-2260	-132.60
394342	-169	8400	37.55
394345	-285	216	40.00
394349	-1110	8268	201.30
394352	-134	412	204.99
394356	628	9712	396.98
394359	-520	-3312	320.76
394363	-511	5884	430.52
394366	11	12352	668.99
394371	-184	-356	647.77
394374	-957	988	650.82
394378	-2	2612	690.04
394381	618	6528	809.22
394385	-319	-1088	770.34
394389	-349	5772	869.01
394392	-99	2900	909.24
394396	-338	1160	913.26
394399	-790	744	906.78
394403	144	2440	937.87
394406	621	5904	1039.62
394411	-234	-8424	849.66
394414	-150	7024	972.41
394418	116	3828	1029.87
394421	-174	-1084	986.91
394425	-612	3664	1038.65
394429	293	-4564	927.75
394432	625	8808	1087.80
394436	-146	-6976	926.10
394439	-204	-60	905.57
394443	113	-4104	805.71
394446	-54	832	806.03
394450	-795	-7172	644.13
394454	212	-964	613.01
394458	653	7348	749.63
394461	-72	-8244	569.47
394465	-89	-348	550.86
394468	-3	-3300	473.83
394472	-230	708	477.84
394475	-769	-5644	352.39
394479	69	1548	376.50
394482	571	8328	537.77
394486	-288	-8468	356.81
394489	-186	5632	461.58
394493	-6	3072	513.77
394497	-219	-756	487.31
394501	-684	-1992	435.71
394504	172	-7516	277.35
394508	365	6632	405.51
394511	-278	-9008	216.16
394515	-80	-5480	102.00
394519	21	2864	157.32
394522	-343	-3184	89.48
394526	-668	2836	141.80
394529	154	-3844	62.53
394533	294	9452	251.47
394536	-562	-4516	154.47
394541	-305	-1636	117.17
394544	-4	8536	285.53
394548	-321	-244	274.00
394551	-767	-8368	98.15
394555	-56	-332	89.38
394558	484	9200	273.02
394562	-557	-4300	179.37
394565	-594	4364	260.74
394569	-112	-1032	234.55
394572	-349	176	232.01
394576	-1000	-2012	184.19
394579	16	-9848	-16.39
